Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116503820	NA	NA	0.301403104291264	7.96079864632189	1.56018936526668	0.139396665247377	0.728532876623447	-5.45763248049303	0.0753629918652861	7.60563588276248	0.567510139623984	0.57630770546606	0.995089477239615	-6.25230546010112	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503821	NA	NA	-0.352119269288865	-0.473876342401478	-0.464144414864022	0.649156210085738	0.913744614393737	-5.29612777486166	-0.444721651138235	-0.704354855753971	-0.765905034833546	0.452146947625634	0.990737828833882	-5.21628242247927	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503829	NA	NA	0.0580519553963583	3.56910815837078	0.197387807640628	0.846152908096999	0.963999330694853	-6.18155425433678	-0.0538031479245467	3.7759039754802	-0.452527650349825	0.655469416737631	0.995089477239615	-6.24544496830636	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503837	NA	NA	0.392362392144571	6.57677361610425	1.75710534433659	0.0991230452444983	0.713823010029729	-5.14259924515335	-0.0643376813842274	6.56851777967002	-0.308432524224557	0.760752881560018	0.995089477239615	-6.39951433757871	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503839	NA	NA	-0.43515881126243	-1.37315630755378	-0.295734055714816	0.771455624333564	0.948377916777879	-5.27181164019522	0.0271272112689955	0.689119381518308	0.140909650725797	0.889266943488292	0.995833667942703	-5.79381214723325	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503845	NA	NA	0.202659491969269	4.19661161339751	0.622236711196097	0.543055817836521	0.877011625105193	-6.14982503215295	0.0569253387149549	3.74806133618179	0.330882351706887	0.743969950174099	0.995089477239615	-6.28973231277361	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503849	NA	NA	0.0328283181039364	4.77002887208099	0.16018245709226	0.874857584371993	0.971097863998372	-6.4331781547866	-0.0837343129139283	5.50485701550877	-0.967462914574593	0.344182491886248	0.987533224507549	-5.99144819813791	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503853	NA	NA	-0.829584400062487	2.70481981036145	-1.84330196287022	0.0849733531601729	0.713823010029729	-4.39764466377555	-0.145827494381547	3.31647648717442	-1.12900871569835	0.271463860289038	0.987533224507549	-5.66235422343069	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503855	NA	NA	NA	NA	NA	NA	NA	NA	2.19245829690291	-3.97001339976793	1.39189984546168	0.178333879275714	0.977007808905936	-4.4718900799559	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503859	NA	NA	0.415872665011298	3.29924699370966	1.07960852194656	0.29723664053114	0.787714485397447	-5.56286399694302	0.387422573703311	2.48337557065475	1.80543346667139	0.085178410502103	0.921846644712327	-4.63687119790653	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503860	NA	NA	0.394728939176164	7.95202456823703	1.59003713154934	0.132512370313814	0.724382223341083	-5.41553365614083	0.0925492765246805	8.35333086752392	0.57723433902048	0.569839618116598	0.995089477239615	-6.21796995745517	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503863	NA	NA	-0.0690255255080165	4.57725857798552	-0.133783658577911	0.895337971834401	0.977934967185214	-6.40073082514536	0.140788612436024	3.79003394594899	0.386591358308318	0.702898143079122	0.995089477239615	-6.27438046188895	NA	NA	NA	NA	NA	NA	NA	NA
