Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HM_FC_08	HC_Meadow_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116520294	NA	NA	0.490127272230463	1.98368714280842	0.353450001929828	0.729240952461772	0.935498873534063	-5.53448764484066	-0.101853213827078	3.08835481731085	-0.513432390029714	0.613519760315723	0.863217358169907	-6.10419564322196	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520299	NA	NA	-0.941340149643792	0.377299050600104	-0.66727997101189	0.515902229505861	0.886722181600154	-5.19577626271998	-0.0689185055065826	1.08857351893367	-0.155655391868859	0.877933160244336	0.968978881426631	-5.82783339127476	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520324	NA	NA	0.653700228241045	0.674061135321446	0.62919884726758	0.539780951630179	0.895545669750069	-5.29286436270356	-0.279884338545037	1.95679083676	-0.528399179097098	0.603290688467203	0.859654716377499	-5.94223866666494	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520330	NA	NA	2.874167042283	1.27388147934441	2.51265263039572	0.0254711021567444	0.631048202845516	-3.25472927982895	-0.384965174719578	1.40355429866491	-1.23700091571662	0.231036917059751	0.599740163343561	-5.24538595937836	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520336	NA	NA	-0.345009663310725	6.32406929729029	-0.716072812299206	0.486218971078927	0.880509694367976	-6.37404943690519	-0.195865437439878	7.63553908359409	-0.37570667191175	0.711263080572396	0.909950134374135	-6.26516300816692	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520346	NA	NA	-1.55195849689883	2.65255068182189	-1.9435385638151	0.0732212581232724	0.645156323554011	-4.21528881603095	-0.189422585250328	4.47287876831724	-0.536711854217713	0.597645366099529	0.856211682535719	-6.24159302085245	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520356	NA	NA	-1.58034626723639	-1.09979497161183	-0.982159980895694	0.343394510378214	0.816566123164862	-4.93483663349655	1.02844260940934	-2.21751740368286	0.657993768289881	0.518371876657686	0.813785262059077	-4.85981914790668	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520360	NA	NA	-0.922964415166848	1.85943796151472	-1.38632244978616	0.18824687599349	0.722458712702349	-4.81293002476425	0.734739702518225	2.10721854994357	1.93979597388906	0.0672722667635991	0.346840329283851	-4.34027684906479	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520364	NA	NA	-1.2751738268801	-0.189886048984049	-0.989691302757968	0.339831950251816	0.815698184977313	-4.95726302551558	0.0505199149460343	1.3569203049692	0.14903896433261	0.88308067890921	0.970655592759449	-5.88986458897188	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520372	NA	NA	-0.571291543399953	-1.34800529726373	-0.357831762398958	0.726033696129995	0.935060536741277	-5.22682678521546	-0.629023167218925	0.624156929899819	-0.859057155995246	0.400931161897734	0.742914345419987	-5.34324845788663	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520377	0	0	3.13239839377963	-0.133548055421674	2.86045326595818	0.0130321113750201	0.612556112724414	-2.78849795341821	1.15934215683351	0.464922653716668	3.43492719300998	0.00275045049359073	0.0730971474641029	-1.52650230458268	1	1	3.13239839377963	1.15934215683351	1	0	0.024472128042089	0.0138007144204379
LOC116520380	NA	NA	0.855331777795675	-1.24741754159332	0.614237480936687	0.549328971942554	0.896947681259889	-5.17849885740511	0.155969501118879	0.0223951243939268	0.369272745575248	0.715974622090331	0.911131373138057	-5.55215163513259	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520384	NA	NA	-0.206158101075908	6.17228267399838	-0.385414723196833	0.705969190057501	0.930562776240259	-6.55790059789507	0.585130052945789	6.89939046485816	1.00141978148527	0.329106318068906	0.689908959333582	-5.87007663435205	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520404	NA	NA	-0.265905243897496	-0.449878608969752	-0.231087268689253	0.820732412813876	0.959664273929301	-5.36743691634153	-0.410358377107077	-0.185540150085929	-0.472783283160984	0.641709847846955	0.876527668175997	-5.35976940829709	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520423	NA	NA	-0.761962071873493	-1.95546501692004	-0.427887940540187	0.675518473052415	0.926816451845433	-5.1979304895599	-0.607409543415918	-0.0333676253931191	-0.739313851014695	0.468679643545466	0.78508600534006	-5.29254172044206	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520426	NA	NA	-0.444032744212409	4.19100055092806	-0.61322704665108	0.549977144770344	0.896947681259889	-6.15662103491682	-1.8715390035285	1.08021607964745	-1.0922295862905	0.288278521532763	0.654535282850797	-5.22488529241978	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520430	NA	NA	1.18890487487447	0.123896369086896	0.718213298653872	0.484940724563135	0.88031154554703	-5.20074389708234	0.2417014015315	-0.143436585901162	0.591851571911257	0.56087066130232	0.839075995005601	-5.478144656008	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520433	NA	NA	-0.0504212285879861	1.00217013721383	-0.0669780409816733	0.947586642096061	0.988400372538805	-5.54483790126664	0.137976997497812	0.680036440001467	0.372680628067085	0.713477572326679	0.91057847423405	-5.72648868378268	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520435	NA	NA	-0.566855795402824	7.23895740588156	-1.55807146294265	0.142475996824002	0.693125037415946	-5.50065678215887	0.32196312151468	7.17908484508075	1.3652939029403	0.187980478179455	0.546814408507904	-5.44806885826488	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520449	NA	NA	-1.37871840170814	-0.886106960357553	-0.971858575376414	0.348310351075221	0.819328777227706	-4.93292844945968	1.13965796027666	-0.204379995933652	1.74739342694466	0.0965811456636789	0.411018140098068	-4.26351432507811	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520466	NA	NA	0.716185178407938	0.589027809782307	0.614590663537301	0.549102511674181	0.896947681259889	-5.32120632012805	-0.787211008187902	1.09336417259976	-0.977067077720843	0.34071420246149	0.698696493870177	-5.27429951385798	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520471	NA	NA	-0.430432791213802	6.65245580903683	-0.557924644358122	0.586082015990442	0.907848250143259	-6.49177548362399	0.0155169585745787	7.22148313984183	0.0356274257937212	0.971948069415198	0.990925419577328	-6.37285642894107	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520472	NA	NA	-1.05328903287792	5.73834372593493	-1.34477459450231	0.200982947758285	0.730883993687717	-5.69947715148683	0.0754957060484651	6.27463199250037	0.14537401712026	0.885934285410488	0.971582969100551	-6.39494713879248	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520476	NA	NA	1.21495822914589	-0.380716865898933	1.11730614317072	0.283464862108898	0.789550204358986	-4.87396832950158	0.61984387914341	0.956259785716583	1.63761552393683	0.117823688021427	0.447333239104766	-4.63308406881418	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520490	NA	NA	-0.298142362826843	-0.442777006949335	-0.210615773697057	0.836350948062831	0.962591855824927	-5.37221245905492	-0.39866619148056	1.38150832978725	-1.93733729494683	0.0675906420733958	0.347984500806698	-4.25814587686514	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520501	NA	NA	-2.97766952835465	-1.70917032487419	-2.22339955303768	0.0439320280292623	0.63866653638743	-3.65812720272579	-0.910014766911227	-0.866659159901776	-1.88642063323958	0.0744910579825183	0.365627433086863	-4.03554497430206	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520526	NA	NA	-0.0120148232865374	3.43594192055387	-0.0126713165267647	0.990076438802616	0.998790790976459	-6.01218162095817	0.00250083399212242	3.90328328301087	0.0108673394960606	0.991441666361303	0.9970315259534	-6.33816823449558	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520536	NA	NA	2.02109933698831	0.921641531574054	1.77545230555549	0.0984897866728915	0.656457182536587	-4.27375380483251	0.460489240933766	0.117551890178602	0.766384086128136	0.452789012715657	0.776586432433997	-5.43031478537813	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520539	NA	NA	0.165033655213888	0.278007312636006	0.137236671856924	0.892881062687585	0.976859701140643	-5.45097955691217	0.390362236993316	-0.975320624477972	0.717333015251465	0.481824732552007	0.794707902440135	-5.1800267249809	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520549	NA	NA	-1.57233762070493	2.9191412910417	-1.77946842073095	0.0978048142279223	0.655726336736684	-4.44243309483023	0.507172856540584	1.97293439874958	1.05269640436567	0.305578099717686	0.671610959035322	-5.43594374554346	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520550	NA	NA	1.13929864373443	0.648977021866507	0.779576898915408	0.449168493062852	0.864655966242235	-5.11941408370709	0.00583737933393647	0.173792156881872	0.00711614095633359	0.994395773774682	0.998200153821816	-5.56668146451387	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520555	NA	NA	-0.440548855653496	0.585468544187644	-0.291331158625409	0.775251686438782	0.946660479085652	-5.38478870917312	0.195062355041782	0.54455691620767	0.245469274727461	0.808703661663188	0.947513232171124	-5.48387128329559	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520556	NA	NA	-2.77047556413053	-0.414774400352588	-1.94055254180959	0.0736133810395359	0.645156323554011	-3.99727136624015	-1.03532443249519	-1.08874955199382	-1.26599576936446	0.220694469823755	0.588993937597708	-4.63044984800237	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520560	NA	NA	-0.00531859303754967	3.88513665283154	-0.00614618954374853	0.995186496281457	0.998790790976459	-6.14774066308162	0.33466731701109	3.67081684401104	1.05710393576962	0.303613280206858	0.669843028079065	-5.75740551642687	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520568	NA	NA	0.412468032224949	3.91532213037882	0.700961628409162	0.495300596600217	0.880913250179438	-5.97163224359574	0.56430476148332	3.83424856550498	2.04040419194893	0.0553374668513443	0.316643530583565	-4.42159548515106	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520570	NA	NA	0.0141272620308825	4.00345372372963	0.0219533990577447	0.982808150925457	0.997414616360798	-6.1902912162027	0.0979038418071814	3.66339863058484	0.421290959812113	0.67823188516822	0.89447677928904	-6.22191095777261	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520572	NA	NA	2.02443559532078	-1.60197833495632	1.29295418675445	0.217839869140146	0.74212157048206	-4.68672033989899	0.671534331979098	-1.23319996025112	1.72368237211915	0.100867243784567	0.418160067525161	-4.21985519308217	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520574	NA	NA	-0.203439946735075	-0.661189026551293	-0.15492244990414	0.879187970898537	0.974647704698642	-5.30559723265468	-0.479812022648197	-0.441364258365213	-0.805870265808441	0.430208192777024	0.764384933509633	-5.15125475236036	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520582	NA	NA	-0.20625355641071	4.04680070723592	-0.561540228240072	0.583684421711567	0.907004915983476	-6.10033160052116	-0.158307938897778	4.03416746133633	-0.736856613477587	0.470138419642218	0.785891747036687	-6.07925062721089	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520583	NA	NA	-0.18883737805487	2.49781002263154	-0.22689246180863	0.823926590292507	0.960071866025469	-5.80765468476208	0.508515814952443	2.6586890231215	1.55480030044955	0.136359592277145	0.475517296397739	-5.02816406212948	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520584	NA	NA	0.0956025167312777	8.39713949041089	0.166514997601799	0.870234044126877	0.972157495911597	-6.67003710951304	1.09336853477829	8.60548517635055	1.68630106818987	0.107956334881019	0.431317239387592	-4.95019258323106	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520585	NA	NA	-0.794329696514686	1.11382565287321	-0.797169296485236	0.439227726257137	0.861123585746737	-5.26445537206902	-0.225223624657426	-1.18848043292273	-0.238287022492343	0.814188801490491	0.948280657191717	-5.23701177121747	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520586	NA	NA	-0.362329320989815	2.66478274765343	-0.516167071288177	0.614135660834278	0.914839257519486	-5.78293933538008	-0.0201154884181185	3.48440363854271	-0.0424478413058093	0.96658100579832	0.990536180562104	-6.27416239496805	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520587	NA	NA	-1.12929754255279	-0.288644586066784	-0.696494810046389	0.498004335923249	0.881902589003496	-5.09242841404827	0.739421978302207	0.353169039818351	0.654986600279316	0.520264449743161	0.815193949429267	-5.28790860691788	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520588	NA	NA	0.277497031397951	3.71178589285624	0.387254734922285	0.704638594295101	0.930562776240259	-6.051389855647	0.398731725789591	3.24009997313063	1.69364033164198	0.106531796581094	0.428388411709659	-4.89632891528483	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520589	NA	NA	-1.45148143439548	3.09276605747777	-2.2218379470314	0.0440596680510975	0.63866653638743	-3.91810260391285	0.346292533486616	1.92110634266855	0.356020004101904	0.725716266318952	0.914576145249218	-5.91528302930913	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520593	NA	NA	-0.466223522401214	-0.184276023031067	-0.329277555325427	0.747027732370081	0.940207893531846	-5.33055789654395	0.501725011131312	0.986954488028769	1.25293254910619	0.225308942856945	0.592570321554322	-5.10583461932725	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520594	NA	NA	0.582862295872519	2.11830804492509	0.484565966552152	0.635796158629347	0.916828398273065	-5.45879669423668	-0.22961918858225	2.17386274343804	-0.463504384783183	0.648225839423263	0.8797655495831	-5.87432184251288	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520595	NA	NA	0.751924307185725	1.13046194269162	0.586647944846421	0.5671767111042	0.902399672004654	-5.35291454446019	-0.174270326888236	1.3264408370306	-0.227930426610994	0.822115493827505	0.95082565096518	-5.83561528789606	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520596	NA	NA	1.66952303712446	1.24552870157296	1.00200518144147	0.334064143801048	0.81288941658255	-5.04884240088149	-0.911426826566239	0.289871099466573	-1.90714411885248	0.0716107706992879	0.357954635248155	-4.16590503035179	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520599	NA	NA	0.57135970551973	1.81129443066993	0.440122481108235	0.666852847092526	0.923397801696992	-5.49508097286458	0.117366524473818	3.25386792653268	0.852834069803975	0.404288586028959	0.744835080209677	-5.89935401684373	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520601	NA	NA	-0.717484486538194	3.16094278917198	-1.48231168077519	0.161352299888054	0.700461961009036	-5.05317629506416	0.430454520948719	2.44025767043011	1.61360327532335	0.122965393876675	0.453848883118252	-4.90143750130241	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520608	NA	NA	2.67328379755539	2.22312484554765	1.02683329642132	0.322649556235137	0.803984916016511	-5.03223584010501	2.61224176284204	1.64473065270161	2.47646391066585	0.0227594862587424	0.21187084083305	-3.30743332797811	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520609	NA	NA	2.24452976664393	-1.76098555606303	1.37926741947591	0.190361639283119	0.724486432136468	-4.60987028808764	4.4327936133334	-1.51824203963901	2.04286162133478	0.0550713610665201	0.315746846067124	-3.96194440645926	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520623	NA	NA	-0.0236572697717976	-0.133065628167859	-0.0180654368152578	0.985852445182141	0.998228120975981	-5.37903272777731	0.196850579715499	1.31120163810143	0.442442687309596	0.66312391050026	0.886233056681264	-5.74208485922369	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520638	NA	NA	-0.641217987078894	-0.51515418235917	-0.481125912455257	0.638175697838519	0.916828398273065	-5.27972433677168	-0.692243857231109	-0.633187708902612	-1.54919092443503	0.137698633624268	0.476940917157216	-4.46432307426994	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520653	NA	NA	-0.446152240996816	5.32868575796695	-1.11538834536434	0.284256636271664	0.790341404621529	-5.92983879450812	-0.0885724953702587	5.96485041966914	-0.475198423840331	0.640018692754105	0.875547457200772	-6.29308495352595	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520666	0	0	1.64575344704512	7.34764530292111	3.09986648316656	0.00817582445276589	0.553710498613356	-2.84797837615623	2.04557933905949	7.57114429868404	3.0539277631361	0.00648777841146554	0.111528410949194	-2.49214830532465	1	1	1.64575344704512	2.04557933905949	1	0	0.0300348311534109	0.0186439877289431
