Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HC_Lake_FC_08	HC_Lake_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
CP	NA	NA	-0.263444123277431	8.05605369559196	-0.375182817525064	0.713386534665762	0.992106992324696	-6.58447447673138	0.0727955913916016	8.58399764675442	0.170916508266119	0.866081768593393	0.979265554212514	-6.34240886158079	NA	NA	NA	NA	NA	NA	NA	NA
CPAMD8	NA	NA	0.261700567501056	0.310519667496037	0.288912176969758	0.777062663470456	0.992106992324696	-5.56453907057001	-0.433861674186815	-0.0692856640927602	-1.00616014382277	0.326879324233977	0.8067502386242	-5.1826284217368	NA	NA	NA	NA	NA	NA	NA	NA
CPB2	NA	NA	0.0504557650629307	7.87241388296696	0.097267002713735	0.923951847802881	0.996475322049385	-6.65387638477415	-0.107851303567863	7.91036304444607	-0.559236474920996	0.582480080425552	0.907994905373801	-6.22632438717514	NA	NA	NA	NA	NA	NA	NA	NA
CPD	NA	NA	-0.284382613837098	6.93807210730608	-1.06759484920393	0.304529704409952	0.912117479624588	-6.08003989976274	-0.184841954372419	6.1816008991539	-1.36349860947357	0.188535730854149	0.705466458192311	-5.55245306624035	NA	NA	NA	NA	NA	NA	NA	NA
CPE	NA	NA	1.09591977849263	0.87065452608997	1.33408969621409	0.204369326777377	0.851443255711361	-5.02160739411836	-0.504881367810484	0.330985388847436	-1.41232843102822	0.17389292993923	0.684978402239341	-4.81555147247774	NA	NA	NA	NA	NA	NA	NA	NA
CPEB1	NA	NA	2.04893047460698	-1.47521866673161	1.22689829584055	0.240947578506547	0.881341127867627	-4.75219328007405	-0.173910222833977	-0.698819099273926	-0.0871745281610844	0.931437573584974	0.989480088690381	-5.39821089716773	NA	NA	NA	NA	NA	NA	NA	NA
CPEB3	NA	NA	0.263343014203653	4.78886218812299	0.585453598560327	0.567956289365783	0.987950590141465	-6.39120336105135	0.719166453072381	5.07188628920957	3.44699977113949	0.00267602310151345	0.135500664484002	-1.74980689399479	NA	NA	NA	NA	NA	NA	NA	NA
CPEB4	NA	NA	0.284873596889855	7.39366256262461	0.99940794987267	0.335274795820291	0.93350478141492	-6.1516231395251	0.613125810823143	7.74793228926315	2.51266188833837	0.0210851602298131	0.336867812358215	-3.60817717664711	NA	NA	NA	NA	NA	NA	NA	NA
CPED1	NA	NA	1.00101598740972	0.0259180343085216	1.08123873562215	0.298635685986575	0.908309595888052	-5.05675267109979	-0.212457522864889	0.600860838670644	-0.54962498625736	0.588927530826501	0.910445542026819	-5.66853415694045	NA	NA	NA	NA	NA	NA	NA	NA
CPLANE1	NA	NA	-0.24453916075681	4.02277366698791	-0.591892029488508	0.563760551193603	0.987473391208137	-6.28204163000073	-0.25625771783788	4.07443255948087	-0.99064258678331	0.334208814073232	0.810310839465339	-5.90865712684917	NA	NA	NA	NA	NA	NA	NA	NA
CPLANE2	NA	NA	0.038677027777391	-0.0777171872698491	0.0448063330058727	0.964921453496772	0.997487011373198	-5.62120811905452	-0.385637416021686	1.00968484037366	-1.29848838158849	0.209534347624763	0.729480040388774	-5.10861329167394	NA	NA	NA	NA	NA	NA	NA	NA
CPLX2	NA	NA	0.122878983788933	2.79749844497978	0.170244439430151	0.86735735011871	0.992106992324696	-6.1742242643529	-0.775642413418344	1.18415394266064	-1.30611976195768	0.206978251138372	0.728435652393798	-5.21801634142461	NA	NA	NA	NA	NA	NA	NA	NA
CPM	NA	NA	-0.285306135207996	2.10205254833105	-0.494894884450447	0.628676717473851	0.992106992324696	-6.01551898216452	-0.0491181993873711	3.23442986139632	-0.257023481005336	0.799901009332887	0.9649088599938	-6.25758858545057	NA	NA	NA	NA	NA	NA	NA	NA
CPN1	NA	NA	0.0839498526380158	7.51044225724425	0.255039654874445	0.802558761738488	0.992106992324696	-6.6263130883083	0.0625777468437061	7.6580130283287	0.370281973669948	0.715234789209946	0.946339956146709	-6.32540390493089	NA	NA	NA	NA	NA	NA	NA	NA
CPN2	NA	NA	-1.54202378607062	0.860994053733933	-1.21985455498503	0.243521461216353	0.88150133580608	-5.07007432459203	-1.36757664203654	2.59349256223678	-3.8704546156469	0.00101704216714141	0.0905983673704793	-0.673050951259999	NA	NA	NA	NA	NA	NA	NA	NA
CPNE2	NA	NA	0.192736655132258	6.38170252513273	0.529604396217646	0.605036184186519	0.992106992324696	-6.5061290245404	0.367856543610126	5.55199737660598	2.01278769642864	0.0584084032786103	0.481977033347365	-4.5912334144688	NA	NA	NA	NA	NA	NA	NA	NA
CPNE3	NA	NA	-0.00349214763719008	4.53561832788071	-0.00996302827098547	0.99219735329782	0.999191600031175	-6.50925707623061	0.0934788040996111	4.16232037065253	0.837419857654979	0.412682659892029	0.841908460252033	-6.06300943771347	NA	NA	NA	NA	NA	NA	NA	NA
CPNE8	NA	NA	0.219743621832959	4.02841521873971	0.494284622486173	0.629096295353022	0.992106992324696	-6.35925221314204	0.129212855364933	5.09953430957875	1.10953604573842	0.280933660529368	0.779859229482658	-5.85875709095927	NA	NA	NA	NA	NA	NA	NA	NA
CPOX	NA	NA	-0.586992087310215	3.18051730157952	-1.4028395973332	0.183371323994139	0.835902556527004	-5.27544202077392	-0.050179320285074	3.58176870023297	-0.35950331191494	0.723151075748248	0.947450299557584	-6.28567147064642	NA	NA	NA	NA	NA	NA	NA	NA
CPPED1	NA	NA	-0.250626807177656	5.28598162949488	-0.561321600842812	0.583829254816362	0.9893464651772	-6.44429630648907	0.0766408881322684	4.18010266786868	0.316717917755855	0.754883130581013	0.956344347064753	-6.37628422568709	NA	NA	NA	NA	NA	NA	NA	NA
CPQ	NA	NA	-0.603294108854552	4.20354884407836	-0.843745091084335	0.413597148883657	0.961308065539442	-5.98973726507996	-0.126742107470579	5.22415198363642	-0.129013990142565	0.898691491640128	0.982629149308391	-6.46819975753266	NA	NA	NA	NA	NA	NA	NA	NA
CPSF1	NA	NA	-0.705397738105487	4.88442843904253	-1.22905996935827	0.240161967805284	0.880919312947046	-5.83485925378442	-0.25522458951291	4.57850720967025	-2.08042894185028	0.0511443016492744	0.464251756740115	-4.44973528893284	NA	NA	NA	NA	NA	NA	NA	NA
CPSF2	NA	NA	0.586513631090129	3.11741846575551	1.43853145548995	0.173191597228526	0.819360625727537	-5.3005361285683	0.188089692741813	3.92095013442092	1.08804837537754	0.290073822192466	0.783296975462942	-5.80255483524661	NA	NA	NA	NA	NA	NA	NA	NA
CPSF3	NA	NA	0.112176766890603	4.28434772452488	0.283474752789083	0.781138325305246	0.992106992324696	-6.43703150053337	0.34189630216687	4.24751722055321	2.00293709362995	0.059540224210849	0.484800351223834	-4.56601671357466	NA	NA	NA	NA	NA	NA	NA	NA
CPSF4	NA	NA	-0.266078070176383	5.24092789526287	-0.85978842570536	0.40500128558806	0.959277640443559	-6.23000219168411	-0.197552151399526	4.21741165375208	-0.896832427324166	0.380940914121843	0.826223318270049	-6.01666260223891	NA	NA	NA	NA	NA	NA	NA	NA
CPSF6	NA	NA	-0.12356354445132	4.34306137739314	-0.463573560860321	0.650381293142363	0.992106992324696	-6.38036566361715	0.0597081939618063	4.89911247035445	0.371721453563696	0.714180052337634	0.94580983819407	-6.39491596580567	NA	NA	NA	NA	NA	NA	NA	NA
