Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	EH_FC_08	EH_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116515424	NA	NA	-0.335194319048569	4.1937696397452	-0.700717023926659	0.495448427754698	0.977956710360043	-5.79885064836622	0.227294390467672	3.94586763893808	0.811835273364339	0.426859320017623	0.98946208039976	-5.6861174183181	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515433	NA	NA	0.45252277058139	4.61766431143262	1.33113010884717	0.205315452303787	0.957895029033551	-5.29178321554036	0.0120933341023033	5.33685200838861	0.105599683893438	0.916997894142322	0.999415040137855	-6.05281668451194	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515436	NA	NA	0.426685240376244	7.91350600931905	1.49033855616675	0.159257101086269	0.957895029033551	-5.19153227790212	0.193427885491927	7.26036844303702	1.32740973958062	0.199976402048029	0.982976659628235	-5.17431312580769	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515439	NA	NA	-0.120059994555445	5.59543084359241	-0.188613404790813	0.853217856873856	0.993406195827379	-6.20889640529754	-0.267700332710427	3.01958511858537	-0.643332182204333	0.527635402650007	0.989599798649865	-5.6312962761951	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515442	NA	NA	-1.606846673245	-0.876355637924514	-1.48775440133415	0.159929108634744	0.957895029033551	-4.4244515127666	0.0244336128522498	-0.177447597638525	0.0585375320207981	0.95392678888235	0.999415040137855	-5.26619092134353	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515444	NA	NA	-0.851292196990288	1.8653886504697	-1.13691029408621	0.275466532344789	0.957895029033551	-4.99986639773563	-0.0761599955819596	1.48605534258292	-0.346928265700811	0.732427244105851	0.997719278780949	-5.51541245871281	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515445	NA	NA	-0.930257036354998	-0.792022879126959	-1.12908779045181	0.278637253559839	0.957895029033551	-4.7224673150225	0.126190035958688	-1.85621785875494	0.191223139559341	0.850362923826659	0.999415040137855	-5.00340687155406	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515450	NA	NA	-2.14218922360526	1.70321312317843	-2.71238530954737	0.0173592810842531	0.957895029033551	-3.04494477373936	0.0305865471339914	2.57491599099972	0.145597186942671	0.885760474500231	0.999415040137855	-5.80619216929419	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515452	NA	NA	-4.66899100799157	-1.18410713544305	-3.78515136827906	0.00215304960902483	0.740365769503354	-2.10644182664657	-0.307144869077041	-0.202238568770551	-0.332616271947801	0.743036225741395	0.997719278780949	-5.13385900463122	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515459	NA	NA	0.150162079806901	5.84181744922299	0.251555111332728	0.805195515501115	0.992031711261414	-6.16222001200174	-0.073712195506471	6.01763934592691	-0.414731249228717	0.682946177099854	0.997719278780949	-5.967936501872	NA	NA	NA	NA	NA	NA	NA	NA
